# x	y	u	v	flags	mask
5.0456e+00	3.9577e+00	1.3241e-01	-4.8175e-01	0.0000e+00	0.0000e+00
2.5901e-01	3.7402e+00	5.3824e-01	8.9020e-01	1.0000e+00	0.0000e+00
4.7659e-01	3.7402e+00	5.1996e-01	8.8463e-01	0.0000e+00	0.0000e+00
6.9416e-01	3.7402e+00	6.3713e-01	9.5353e-01	0.0000e+00	0.0000e+00
9.1173e-01	3.7402e+00	8.3372e-01	9.8617e-01	0.0000e+00	0.0000e+00
1.1293e+00	3.7402e+00	1.0104e+00	1.0058e+00	0.0000e+00	0.0000e+00
1.3469e+00	3.7402e+00	1.2442e+00	9.7587e-01	0.0000e+00	0.0000e+00
1.5644e+00	3.7402e+00	1.5067e+00	8.4759e-01	0.0000e+00	0.0000e+00
1.7820e+00	3.7402e+00	1.6911e+00	5.5363e-01	0.0000e+00	0.0000e+00
1.9996e+00	3.7402e+00	1.7643e+00	1.8368e-01	0.0000e+00	0.0000e+00
2.2172e+00	3.7402e+00	1.6360e+00	-1.9783e-01	0.0000e+00	0.0000e+00
2.4347e+00	3.7402e+00	1.4627e+00	-5.2391e-01	0.0000e+00	0.0000e+00
2.6523e+00	3.7402e+00	1.1741e+00	-6.7410e-01	0.0000e+00	0.0000e+00
2.8699e+00	3.7402e+00	9.7351e-01	-8.0057e-01	0.0000e+00	0.0000e+00
3.0874e+00	3.7402e+00	7.5926e-01	-7.8850e-01	0.0000e+00	0.0000e+00
3.3050e+00	3.7402e+00	5.9273e-01	-7.7150e-01	0.0000e+00	0.0000e+00
3.5226e+00	3.7402e+00	4.9457e-01	-7.3456e-01	0.0000e+00	0.0000e+00
3.7402e+00	3.7402e+00	4.1853e-01	-6.9132e-01	0.0000e+00	0.0000e+00
3.9577e+00	3.7402e+00	3.5946e-01	-6.5191e-01	0.0000e+00	0.0000e+00
4.1753e+00	3.7402e+00	2.6952e-01	-6.1159e-01	0.0000e+00	0.0000e+00
4.3929e+00	3.7402e+00	2.1066e-01	-5.9412e-01	0.0000e+00	0.0000e+00
4.6104e+00	3.7402e+00	1.6571e-01	-5.7403e-01	0.0000e+00	0.0000e+00
4.8280e+00	3.7402e+00	1.3293e-01	-5.1781e-01	0.0000e+00	0.0000e+00
5.0456e+00	3.7402e+00	1.0381e-01	-5.1039e-01	0.0000e+00	0.0000e+00
2.5901e-01	3.5226e+00	3.8215e-01	8.9227e-01	0.0000e+00	0.0000e+00
4.7659e-01	3.5226e+00	4.6927e-01	9.7587e-01	0.0000e+00	0.0000e+00
6.9416e-01	3.5226e+00	5.5574e-01	1.0649e+00	0.0000e+00	0.0000e+00
9.1173e-01	3.5226e+00	7.0919e-01	1.1390e+00	0.0000e+00	0.0000e+00
1.1293e+00	3.5226e+00	9.8342e-01	1.2080e+00	0.0000e+00	0.0000e+00
1.3469e+00	3.5226e+00	1.2226e+00	1.2456e+00	0.0000e+00	0.0000e+00
1.5644e+00	3.5226e+00	1.7078e+00	1.1705e+00	0.0000e+00	0.0000e+00
1.7820e+00	3.5226e+00	2.0506e+00	9.0466e-01	0.0000e+00	0.0000e+00
1.9996e+00	3.5226e+00	2.2899e+00	3.4131e-01	0.0000e+00	0.0000e+00
2.2172e+00	3.5226e+00	1.1831e+00	-1.3769e-02	1.0000e+00	0.0000e+00
2.4347e+00	3.5226e+00	1.6602e+00	-7.7697e-01	0.0000e+00	0.0000e+00
2.6523e+00	3.5226e+00	1.3302e+00	-1.0265e+00	0.0000e+00	0.0000e+00
2.8699e+00	3.5226e+00	1.0094e+00	-1.0615e+00	0.0000e+00	0.0000e+00
3.0874e+00	3.5226e+00	6.9547e-01	-1.0221e+00	0.0000e+00	0.0000e+00
3.3050e+00	3.5226e+00	5.4944e-01	-9.6085e-01	0.0000e+00	0.0000e+00
3.5226e+00	3.5226e+00	4.5465e-01	-8.9006e-01	0.0000e+00	0.0000e+00
3.7402e+00	3.5226e+00	3.4927e-01	-8.1186e-01	0.0000e+00	0.0000e+00
3.9577e+00	3.5226e+00	2.9522e-01	-7.3070e-01	0.0000e+00	0.0000e+00
4.1753e+00	3.5226e+00	2.0170e-01	-6.7757e-01	0.0000e+00	0.0000e+00
4.3929e+00	3.5226e+00	1.6120e-01	-6.0461e-01	0.0000e+00	0.0000e+00
4.6104e+00	3.5226e+00	1.0782e-01	-5.7266e-01	0.0000e+00	0.0000e+00
4.8280e+00	3.5226e+00	9.8171e-02	-5.5009e-01	0.0000e+00	0.0000e+00
5.0456e+00	3.5226e+00	7.5899e-02	-5.2458e-01	0.0000e+00	0.0000e+00
2.5901e-01	3.3050e+00	2.8696e-01	9.3232e-01	0.0000e+00	0.0000e+00
4.7659e-01	3.3050e+00	3.7805e-01	1.0060e+00	0.0000e+00	0.0000e+00
6.9416e-01	3.3050e+00	4.5612e-01	1.1259e+00	0.0000e+00	0.0000e+00
9.1173e-01	3.3050e+00	6.1015e-01	1.2929e+00	0.0000e+00	0.0000e+00
1.1293e+00	3.3050e+00	8.4120e-01	1.4759e+00	0.0000e+00	0.0000e+00
1.3469e+00	3.3050e+00	1.1924e+00	1.6309e+00	0.0000e+00	0.0000e+00
